Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
Black Panther: Wakanda Forever,2h 41m,PG-13,6.7,859208836.0,['Ryan Coogler'],"['Ryan Coogler', 'Joe Robert Cole', 'Stan Lee']","['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira']",Drama,['United States'],"['Cambridge, Massachusetts, USA']","['English', 'Xhosa', 'Maya', 'Spanish', 'Haitian', 'French']",2022
Black Panther: Wakanda Forever,2h 41m,PG-13,6.7,859208836.0,['Ryan Coogler'],"['Ryan Coogler', 'Joe Robert Cole', 'Stan Lee']","['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira']",Sci-Fi,['United States'],"['Cambridge, Massachusetts, USA']","['English', 'Xhosa', 'Maya', 'Spanish', 'Haitian', 'French']",2022
Doctor Strange in the Multiverse of Madness,2h 6m,PG-13,6.9,955775804.0,['Sam Raimi'],"['Michael Waldron', 'Stan Lee', 'Steve Ditko']","['Benedict Cumberbatch', 'Elizabeth Olsen', 'Chiwetel Ejiofor']",Dark Fantasy,['United States'],['Norway'],"['English', 'Spanish', 'Chinese']",2022
Lightyear,1h 45m,PG,6.1,226425420.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']",Comedy,"['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']",['English'],2022
Lightyear,1h 45m,PG,6.1,226425420.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']",Family,"['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']",['English'],2022
Lightyear,1h 45m,PG,6.1,226425420.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']",Sci-Fi,"['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']",['English'],2022
"Lyle, Lyle, Crocodile",1h 46m,PG,6.1,111080122.0,"['Josh Gordon', 'Will Speck']","['Bernard Waber', 'William Davies']","['Javier Bardem', 'Winslow Fegley', 'Shawn Mendes']",Adventure,"['United States', 'United Kingdom', 'Italy']","['Marietta, Georgia']",['English'],2022
"Lyle, Lyle, Crocodile",1h 46m,PG,6.1,111080122.0,"['Josh Gordon', 'Will Speck']","['Bernard Waber', 'William Davies']","['Javier Bardem', 'Winslow Fegley', 'Shawn Mendes']",Comedy,"['United States', 'United Kingdom', 'Italy']","['Marietta, Georgia']",['English'],2022
"Lyle, Lyle, Crocodile",1h 46m,PG,6.1,111080122.0,"['Josh Gordon', 'Will Speck']","['Bernard Waber', 'William Davies']","['Javier Bardem', 'Winslow Fegley', 'Shawn Mendes']",Family,"['United States', 'United Kingdom', 'Italy']","['Marietta, Georgia']",['English'],2022
The Bob's Burgers Movie,1h 42m,PG-13,7.0,34148750.0,"['Loren Bouchard', 'Bernard Derriman']","['Loren Bouchard', 'Nora Smith', 'Tony Gennaro']","['H. Jon Benjamin', 'Kristen Schaal', 'Dan Mintz']",Adult Animation,['United States'],[],"['English', 'German']",2022
